Year,Pick,Team,Player,College,Games,Minutes,Points,Rebounds,Assists,FG%,3P%,FT%,Win Shares,WS/48,BPM,VORP,MPG,PPG,RPG,APG,Pick Range,Career Tier,Bust?,Pick Efficiency,Value Above Expected
2012,7,GSW,Harrison Barnes,UNC,725,23028,10235,3720,1326,0.453,0.38,0.804,43.6,0.091,-0.8,7,31.8,14.1,5.1,1.8,Lottery,Starter,No,6.23,9.62
2012,8,TOR,Terrence Ross,Washington,658,16412,7436,1875,826,0.418,0.364,0.839,23.5,0.069,-0.9,4.7,24.9,11.3,2.8,1.3,Lottery,Rotation,No,2.94,2.34
2012,9,DET,Andre Drummond,UConn,697,20799,9684,9309,976,0.538,0.133,0.471,65.7,0.152,1.3,17.3,29.8,13.9,13.4,1.4,Lottery,Starter,No,7.30,28.31
2012,10,NOP,Austin Rivers,Duke,632,15285,5604,1319,1398,0.418,0.35,0.647,13.3,0.042,-3,-3.9,24.2,8.9,2.1,2.2,Lottery,Rotation,No,1.33,-13.55
2012,11,POR,Meyers Leonard,Illinois,447,7158,2502,1737,395,0.482,0.39,0.809,15.5,0.104,-1.4,1.1,16,5.6,3.9,0.9,Lottery,Rotation,No,1.41,-7.20
2012,12,HOU,Jeremy Lamb,UConn,557,11605,5685,2019,879,0.44,0.344,0.857,26.7,0.11,0.7,7.9,20.8,10.2,3.6,1.6,Lottery,Rotation,No,2.23,5.38
2012,13,PHO,Kendall Marshall,UNC,160,3083,802,253,779,0.399,0.37,0.611,1,0.015,-3.5,-1.1,19.3,5,1.6,4.9,Lottery,Minimal,Yes,0.08,-18.33
2012,14,MIL,John Henson,UNC,445,8752,3383,2368,496,0.54,0.25,0.568,20.7,0.113,-0.5,3.4,19.7,7.6,5.3,1.1,Lottery,Rotation,No,1.48,5.95
2012,15,PHI,Maurice Harkless,St. John's,615,13971,4250,2191,571,0.474,0.32,0.624,22.9,0.079,-0.8,4.1,22.7,6.9,3.6,0.9,Mid First,Rotation,No,1.53,-2.88
2012,16,HOU,Royce White,Iowa State,3,9,0,0,0,0,,,0,-0.121,-16.9,0,3,0,0,0,Mid First,Minimal,No,0.00,-16.98
2012,17,DAL,Tyler Zeller,UNC,414,7254,2873,1820,367,0.508,0.286,0.764,17.1,0.113,-2,0,17.5,6.9,4.4,0.9,Mid First,Rotation,No,1.01,-0.22
2012,18,HOU,Terrence Jones,Kentucky,234,5562,2431,1334,238,0.501,0.297,0.621,14.7,0.127,0.5,3.6,23.8,10.4,5.7,1,Mid First,Rotation,No,0.82,-2.61
2012,19,ORL,Andrew Nicholson,St. Bonaventure,285,4080,1700,857,126,0.467,0.321,0.773,3.8,0.045,-3.6,-1.6,14.3,6,3,0.4,Mid First,Minimal,No,0.20,-13.78
2012,20,DEN,Evan Fournier,,622,17798,8923,1729,1610,0.447,0.381,0.801,29.4,0.079,-0.9,4.7,28.6,14.3,2.8,2.6,Mid First,Rotation,No,1.47,19.01
2012,21,BOS,Jared Sullinger,Ohio State,269,6532,2893,2006,477,0.436,0.272,0.723,15.3,0.113,-0.4,2.7,24.3,10.8,7.5,1.8,Late First,Rotation,No,0.73,-5.20
2012,22,BOS,Fab Melo,Syracuse,6,36,7,3,0,0.5,,0.25,0,0.021,-7.6,-0.1,6,1.2,0.5,0,Late First,Minimal,No,0.00,-18.48
